name	term	lev	seq	value
"single-stranded DNA binding"	GO:0003697	4	SPU_013431	-0.43136659024526
"single-stranded DNA binding"	GO:0003697	4	SPU_013435	-2.95172200914626
"single-stranded DNA binding"	GO:0003697	4	SPU_015643	-0.0628199772729364
"single-stranded DNA binding"	GO:0003697	4	SPU_016517	-3.92108338400503
"single-stranded DNA binding"	GO:0003697	4	SPU_016707	0.941494348873884
"single-stranded DNA binding"	GO:0003697	4	SPU_017572	1.27677768799586
"single-stranded DNA binding"	GO:0003697	4	SPU_021780	-0.960990785908072
"single-stranded DNA binding"	GO:0003697	4	SPU_024403	-0.705006631170392
"single-stranded DNA binding"	GO:0003697	4	SPU_025860	1.5441212836913
"adenylate kinase activity"	GO:0004017	2	SPU_009697	0.576359772419226
"adenylate kinase activity"	GO:0004017	2	SPU_009738	4.20349433698676
"adenylate kinase activity"	GO:0004017	2	SPU_010767	-0.723799959603021
"adenylate kinase activity"	GO:0004017	2	SPU_011033	0.239421212453998
"adenylate kinase activity"	GO:0004017	2	SPU_013326	0.434487597351567
"RNA binding"	GO:0003723	3	SPU_000029	0.230384795156764
"RNA binding"	GO:0003723	3	SPU_000160	-1.70227072414911
"RNA binding"	GO:0003723	3	SPU_000181	-2.28296594412236
"RNA binding"	GO:0003723	3	SPU_000194	4.5405909787567
"RNA binding"	GO:0003723	3	SPU_000303	-1.4322985258675
"RNA binding"	GO:0003723	3	SPU_000494	3.32161883135568
"RNA binding"	GO:0003723	3	SPU_000495	7.66956367215395
"RNA binding"	GO:0003723	3	SPU_000595	-0.607968655101689
"RNA binding"	GO:0003723	3	SPU_000635	-1.00537406417754
"RNA binding"	GO:0003723	3	SPU_000707	1.73507436039993
"RNA binding"	GO:0003723	3	SPU_000714	-0.422090306710203
"RNA binding"	GO:0003723	3	SPU_000715	-0.253570279661407
"RNA binding"	GO:0003723	3	SPU_000914	4.28146821674765
"RNA binding"	GO:0003723	3	SPU_000934	-1.06884182757375
"RNA binding"	GO:0003723	3	SPU_000943	4.72094328429619
"RNA binding"	GO:0003723	3	SPU_000960	-4.26151977571109
"RNA binding"	GO:0003723	3	SPU_000961	2.36440693657314
"RNA binding"	GO:0003723	3	SPU_001075	0.0156534441586129
"RNA binding"	GO:0003723	3	SPU_001314	0.779418897178866
"RNA binding"	GO:0003723	3	SPU_001337	0.685397201265464
"RNA binding"	GO:0003723	3	SPU_001414	5.08933615740664
"RNA binding"	GO:0003723	3	SPU_001429	1.4551114396481
"RNA binding"	GO:0003723	3	SPU_001556	-0.780071736811423
"RNA binding"	GO:0003723	3	SPU_001652	2.19575885982542
"RNA binding"	GO:0003723	3	SPU_001765	0.182080725960826
"RNA binding"	GO:0003723	3	SPU_001771	-0.776648449070813
"RNA binding"	GO:0003723	3	SPU_001889	-0.98363016831764
"RNA binding"	GO:0003723	3	SPU_001904	-0.835208283790218
"RNA binding"	GO:0003723	3	SPU_002103	0.0631008898304426
"RNA binding"	GO:0003723	3	SPU_002194	8.1737315291497
"RNA binding"	GO:0003723	3	SPU_002220	1.33355682391156
"RNA binding"	GO:0003723	3	SPU_002264	2.61769758752863
"RNA binding"	GO:0003723	3	SPU_002265	-0.0480268190013387
"RNA binding"	GO:0003723	3	SPU_002281	-3.88851502932776
"RNA binding"	GO:0003723	3	SPU_002416	-0.305938707786149
"RNA binding"	GO:0003723	3	SPU_002443	-3.05277131082012
"RNA binding"	GO:0003723	3	SPU_002587	-2.44046422571794
"RNA binding"	GO:0003723	3	SPU_002595	-23.8400072352827
"RNA binding"	GO:0003723	3	SPU_002655	13.9881423322282
"RNA binding"	GO:0003723	3	SPU_002844	-0.124309951583439
"RNA binding"	GO:0003723	3	SPU_002879	0.225703838763149
"RNA binding"	GO:0003723	3	SPU_002951	-0.0230898129419559
"RNA binding"	GO:0003723	3	SPU_003040	0.695989409149284
"RNA binding"	GO:0003723	3	SPU_003059	0.895508795002538
"RNA binding"	GO:0003723	3	SPU_003095	-0.147272677353753
"RNA binding"	GO:0003723	3	SPU_003110	-0.857613614917502
"RNA binding"	GO:0003723	3	SPU_003261	-3.97026454298291
"RNA binding"	GO:0003723	3	SPU_003290	7.07608661359113
"RNA binding"	GO:0003723	3	SPU_003319	0.836010711842485
"RNA binding"	GO:0003723	3	SPU_003322	0.0863497733508117
"RNA binding"	GO:0003723	3	SPU_003340	0.5480136301921
"RNA binding"	GO:0003723	3	SPU_003371	0.510903980157377
"RNA binding"	GO:0003723	3	SPU_003468	-1.40025484071879
"RNA binding"	GO:0003723	3	SPU_003529	-5.94185757265611
"RNA binding"	GO:0003723	3	SPU_003591	0.119346202698095
"RNA binding"	GO:0003723	3	SPU_003646	-1.50935836893299
"RNA binding"	GO:0003723	3	SPU_003758	0.552422737266017
"RNA binding"	GO:0003723	3	SPU_003905	9.22335846657164
"RNA binding"	GO:0003723	3	SPU_003989	0.42604453942792
"RNA binding"	GO:0003723	3	SPU_004254	-0.019647543040873
"RNA binding"	GO:0003723	3	SPU_004259	-0.479604727604645
"RNA binding"	GO:0003723	3	SPU_004278	0.0854922779222034
"RNA binding"	GO:0003723	3	SPU_004396	4.55932428182172
"RNA binding"	GO:0003723	3	SPU_004545	1.2007771239366
"RNA binding"	GO:0003723	3	SPU_004620	0.481557731459393
"RNA binding"	GO:0003723	3	SPU_004635	7.84725530748483
"RNA binding"	GO:0003723	3	SPU_004811	-0.109165769894653
"RNA binding"	GO:0003723	3	SPU_004903	2.61789100381372
"RNA binding"	GO:0003723	3	SPU_004976	1.35409138964461
"RNA binding"	GO:0003723	3	SPU_005035	3.79407557863181
"RNA binding"	GO:0003723	3	SPU_005104	-1.01068536979205
"RNA binding"	GO:0003723	3	SPU_005181	4.33851874869113
"RNA binding"	GO:0003723	3	SPU_005221	2.87043595763902
"RNA binding"	GO:0003723	3	SPU_005336	-1.38531001481667
"RNA binding"	GO:0003723	3	SPU_005338	3.7799293964643
"RNA binding"	GO:0003723	3	SPU_005379	-2.65984022097443
"RNA binding"	GO:0003723	3	SPU_005380	-9.81872029291336
"RNA binding"	GO:0003723	3	SPU_005381	-12.3985669177002
"RNA binding"	GO:0003723	3	SPU_005413	6.5510796353792
"RNA binding"	GO:0003723	3	SPU_005429	4.10950875889545
"RNA binding"	GO:0003723	3	SPU_005430	0.258644565862588
"RNA binding"	GO:0003723	3	SPU_005589	-0.139039193994233
"RNA binding"	GO:0003723	3	SPU_005606	2.45077659132503
"RNA binding"	GO:0003723	3	SPU_005872	-0.420296074703202
"RNA binding"	GO:0003723	3	SPU_005982	1.92773429131488
"RNA binding"	GO:0003723	3	SPU_006074	2.40802731151682
"RNA binding"	GO:0003723	3	SPU_006130	7.40689981169409
"RNA binding"	GO:0003723	3	SPU_006337	-5.76951155936546
"RNA binding"	GO:0003723	3	SPU_006369	1.16487008939615
"RNA binding"	GO:0003723	3	SPU_006434	0.414534678994636
"RNA binding"	GO:0003723	3	SPU_006459	8.69850184293828
"RNA binding"	GO:0003723	3	SPU_006543	17.5790241137906
"RNA binding"	GO:0003723	3	SPU_006568	0.0928022471359092
"RNA binding"	GO:0003723	3	SPU_006605	2.73030164658003
"RNA binding"	GO:0003723	3	SPU_006703	-0.267162389406253
"RNA binding"	GO:0003723	3	SPU_006771	0.0334639516264507
"RNA binding"	GO:0003723	3	SPU_006773	-0.0819632399177127
"RNA binding"	GO:0003723	3	SPU_006778	2.11404643636559
"RNA binding"	GO:0003723	3	SPU_006836	-0.736665971939442
"RNA binding"	GO:0003723	3	SPU_006847	-6.04997656855716
"RNA binding"	GO:0003723	3	SPU_006922	1.54783430126892
"RNA binding"	GO:0003723	3	SPU_006923	-0.202772031473319
"RNA binding"	GO:0003723	3	SPU_007074	7.62692546695389
